topic_id,count,top_words
0,2278,"the, to, you, and, pool, for, is, recommend"
1,56,"fridge, 10, mini, own, charge, any, drinks, will"
2,39,"key, card, your, room, cards, guest, need, each"
3,37,"tower, in, walk, elevators, dropped, driver, you, rooms"
4,34,"like, thank, his, who, mr, he, service, us"
5,33,"shower, towels, bath, bathrooms, tub, bathroom, clean, towel"
6,28,"card, credit, points, deposit, your, you, express, can"
7,26,"passport, casino, your, bring, need, id, carry, enter"
8,24,"bed, sofa, room, size, turned, king, bedroom, beds"
9,22,"shoes, walking, hop, walk, map, around, wear, prepared"
10,22,"toilet, bidet, toiletries, though, toilets, wash, put, simple"
11,21,"book, booking, ticket, ahead, denominations, tickets, bookings, mid"
12,20,"staff, customer, helpful, service, assist, check, customers, like"
13,18,"casino, smoke, allowed, dont, main, its, inside, healthy"
14,18,"minibar, mini, bar, automatically, remove, item, sensor, billed"
15,18,"taxi, airport, grab, limo, taxis, queue, as, use"
16,17,"gym, fitness, equipment, fit, try, center, 55th, bit"
17,17,"tax, added, 10, bill, gst, charge, service, quoted"
18,16,"cake, birthday, special, celebrate, delicious, us, complimentary, present"
19,15,"selfie, sticks, stick, selfies, taking, however, ready, even"
20,14,"bucket, list, this, your, add, on, lacks, definate"
21,13,"wifi, free, internet, supplied, reconnect, replenished, hell, strings"
22,13,"spa, banyan, yoga, treatment, tree, highly, deffenitly, reccomend"
23,12,"dress, code, attire, proper, wear, shorts, 7pm, allowed"
24,12,"spago, restaurant, fine, dining, cocktails, booked, bar, wolfgang"
25,12,"coffee, machine, nespresso, milk, expected, room, capsules, tear"
26,12,"love, back, come, would, again, here, stay, couple"
27,12,"lobby, crowds, expect, busy, crowd, property, span, thoroughfare"
28,12,"sunscreen, sun, wear, sunblock, burned, red, got, lotion"
29,11,"section, adult, kids, adults, only, idea, blowing, whistle"
30,11,"parking, valet, entry, 24, carpark, 12, per, coupon"
31,11,"housekeeping, cleaning, clean, odour, minimise, housewives, angry, goodies"
32,10,"waterproof, phone, case, bag, camera, take, buying, your"
33,10,"laser, show, light, timing, fountain, nightly, do, water"
34,10,"improve, service, need, staff, customer, they, skills, capasity"
35,10,"service, judge, expect, don, personal, sending, guesses, protocol"
36,9,"pillows, bed, firmer, pillow, comfortable, ad, struggled, thick"
37,9,"improved, could, issue, perhaps, affect, drastic, handled, be"
38,8,"couples, families, children, suitable, family, conference, friends, unfriendly"
39,8,"sgd, voucher, la, buy, vi, est, bar, we"
40,8,"free, tea, cocktails, drink, drinks, canepes, turning, milo"
41,8,"money, everything, need, cashed, seek, monies, joints, piece"
42,8,"000, star, rate, deserve, stars, shouldn, exsa, today"
43,8,"refurbishing, scones, needed, shortcoming, cubes, makeover, refurbish, elements"
44,7,"elevator, lifts, separate, its, rides, seclusion, knowing, expended"
45,7,"queue, sms, faster, check, too, tablet, whereby, speedy"
46,6,"promotions, new, package, loop, promos, chinese, keep, depending"
47,6,"valet, arrival, standby, miles, vehicle, prior, assigned, receipt"
48,6,"check, granted, feather, dissapointment, counted, confused, unnecessarily, wait"
49,6,"guests, should, they, seats, message, special, continue, screen"
50,5,"pulling, teen, school, games, european, travel, imagine, stuff"
51,5,"smoking, preference, non, balcony, smokers, smoker, specify, vs"
52,5,"ports, usb, socket, charging, welcomed, battery, phones, loads"
53,5,"laundry, mock, tail, socks, reviewed, girlfriend, folded, ironed"
54,5,"mbs, managers, recognised, publicly, outset, individuals, cos, thoughtful"
55,5,"he, him, raise, comfortably, compensation, eventually, arrangements, fair"
